Name,Position,Salary,Team,Opp,All Scores,Best Score,Best / Sal
Zach Pascal,WR,4500,IND,DET,"[3.8, 10.9, 5.4, 8.8, 3.5, 15.4, nan]",15.4,3.42
Robert Woods,WR,6300,LAR,MIA,"[17.9, 11.3, 21.4, 9.8, 17.1, 14.0, 5.5]",21.4,3.4
Hunter Henry,TE,4200,LAC,DEN,"[12.3, 14.3, 10.0, 5.9, 12.3, nan, 5.3]",14.3,3.4
James White,RB,4500,NE,BUF,"[8.2, nan, nan, 12.9, nan, 15.3, 1.3]",15.3,3.4
Drew Sample,TE,3400,CIN,TEN,"[1.7, 11.5, 1.1, 7.7, 4.2, 0.0, 10.2]",11.5,3.38
Corey Davis,WR,5100,TEN,CIN,"[17.1, 12.6, 11.9, nan, nan, nan, 15.5]",17.1,3.35
Ben Roethlisberger,QB,6600,PIT,BAL,"[22.1, 19.2, 19.2, nan, 21.4, 11.0, 15.6]",22.1,3.35
Cincinnati Bengals,DST,2100,CIN,TEN,"[3.0, -2.0, 7.0, 5.0, 3.0, 4.0, -2.0]",7.0,3.33
Mark Ingram II,RB,4800,BAL,PIT,"[2.9, 15.7, 3.0, 10.7, 5.7, 2.0, nan]",15.7,3.27
Marquise Brown,WR,6100,BAL,PIT,"[15.1, 9.2, 3.3, 12.6, 19.8, 9.7, nan]",19.8,3.25
Tyreek Hill,WR,6700,KC,NYJ,"[15.6, 21.8, 21.2, 16.4, 18.3, 5.5, 17.5]",21.8,3.25
Clyde Edwards-Helaire,RB,6500,KC,NYJ,"[19.8, 13.0, 18.4, 12.1, 11.0, 20.9, 13.3]",20.9,3.22
Courtland Sutton,WR,3000,DEN,LAC,"[nan, 9.6, nan, nan, nan, nan, nan]",9.6,3.2
T.J. Hockenson,TE,5300,DET,IND,"[16.6, 10.2, 9.3, 10.9, nan, 9.7, 16.9]",16.9,3.19
Will Dissly,TE,2800,SEA,SF,"[2.8, 1.9, 2.5, 3.5, 8.9, nan, 5.8]",8.9,3.18
Lamical Perine,RB,4300,NYJ,KC,"[nan, 1.7, 4.3, 1.5, 0.0, 5.6, 13.5]",13.5,3.14
Kendrick Bourne,WR,3500,SF,SEA,"[5.4, 10.7, 10.3, 6.3, 11.0, 6.4, 0.0]",11.0,3.14
Nick Foles,QB,5800,CHI,NO,"[nan, nan, 18.2, 12.9, 12.6, 17.3, 8.4]",18.2,3.14
Marvin Hall,WR,3000,DET,IND,"[3.6, 9.4, 0.0, 0.0, nan, 1.7, 0.0]",9.4,3.13
Carlos Hyde,RB,5300,SEA,SF,"[8.3, 5.7, 3.3, nan, nan, nan, 16.6]",16.6,3.13
Marvin Jones Jr.,WR,4200,DET,IND,"[9.5, 12.3, 8.1, 1.9, nan, 2.8, 13.0]",13.0,3.1
J.K. Dobbins,RB,4600,BAL,PIT,"[14.2, 7.1, 8.4, 2.7, 8.5, 4.9, nan]",14.2,3.09
Johnny Mundt,TE,2500,LAR,MIA,"[0.0, 0.0, 0.0, 1.5, 0.0, 0.0, 7.7]",7.7,3.08
Donald Parham Jr.,TE,3000,LAC,DEN,"[nan, nan, nan, 8.9, 0.0, nan, 9.2]",9.2,3.07
Joe Flacco,QB,4500,NYJ,KC,"[nan, nan, nan, 0.6, 13.8, 6.4, nan]",13.8,3.07
Freddie Swain,WR,3000,SEA,SF,"[2.7, 9.1, 2.3, 5.2, 3.4, nan, 0.0]",9.1,3.03
Jack Doyle,TE,3300,IND,DET,"[7.9, nan, 0.0, 2.2, 0.0, 9.9, nan]",9.9,3.0
Justin Jackson,RB,4800,LAC,DEN,"[0.4, nan, nan, 4.1, 14.4, nan, 10.5]",14.4,3.0
Deebo Samuel,WR,6000,SF,SEA,"[nan, nan, nan, 7.5, 4.2, 18.0, 12.2]",18.0,3.0
Jared Cook,TE,4400,NO,CHI,"[13.0, 9.3, 4.1, nan, 13.2, nan, 12.2]",13.2,3.0
Durham Smythe,TE,2500,MIA,LAR,"[0.0, 0.0, 1.7, 5.0, nan, 7.4, nan]",7.4,2.96
Jerry Jeudy,WR,4800,DEN,LAC,"[9.6, 10.2, 10.5, 14.1, nan, 5.2, 4.0]",14.1,2.94
Jakeem Grant,WR,3000,MIA,LAR,"[5.5, 1.2, 5.8, 6.6, 0.4, 8.8, nan]",8.8,2.93
Jace Sternberger,TE,2500,GB,MIN,"[0.0, 0.0, 6.6, 0.0, nan, 0.0, 7.3]",7.3,2.92
Jakobi Meyers,WR,3500,NE,BUF,"[0.0, 1.7, 0.0, nan, nan, nan, 10.2]",10.2,2.91
Devin Duvernay,WR,3000,BAL,PIT,"[2.2, 2.9, 8.7, 1.4, 7.9, 6.1, nan]",8.7,2.9
Jonathan Taylor,RB,6600,IND,DET,"[14.9, 19.0, 13.2, 8.9, 15.4, 15.5, nan]",19.0,2.88
Olabisi Johnson,WR,3000,MIN,GB,"[8.6, 3.4, 0.0, 0.0, 2.3, 0.0, nan]",8.6,2.87
Malik Taylor,WR,3000,GB,MIN,"[0.0, 0.0, 0.0, 3.0, nan, 0.0, 8.6]",8.6,2.87
Reggie Gilliam,TE,2500,BUF,NE,"[0.0, 7.1, 0.0, 0.0, 0.0, 0.0, 2.5]",7.1,2.84
Lee Smith,TE,2500,BUF,NE,"[nan, nan, 7.1, nan, nan, 0.0, nan]",7.1,2.84
Brett Rypien,QB,5000,DEN,LAC,"[nan, nan, 1.1, 14.2, nan, nan, 0.0]",14.2,2.84
MyCole Pruitt,TE,2500,TEN,CIN,"[7.1, 0.0, 3.6, nan, nan, nan, 0.0]",7.1,2.84
Drew Lock,QB,5300,DEN,LAC,"[13.1, -1.2, nan, nan, nan, 5.5, 15.0]",15.0,2.83
Breshad Perriman,WR,3600,NYJ,KC,"[4.7, 3.2, nan, nan, nan, 10.2, 4.7]",10.2,2.83
Zay Jones,WR,3000,LV,CLE,"[0.0, 8.5, 6.2, 7.2, 1.2, nan, 0.0]",8.5,2.83
Benny Snell Jr.,RB,4000,PIT,BAL,"[11.3, -0.9, 1.1, nan, 1.9, 9.1, 6.2]",11.3,2.82
